term,definition
"a","the first letter of the alphabet, used as an article"
abandon,to leave something completely and forever
ability,the skill or power to do something
able,having the skill or power to do something
abortion,ending a pregnancy before birth
about,concerning or relating to something
above,higher than or over something else
abroad,in or to a foreign country
absence,the state of not being present
"absolute","complete and total, without limits"
absolutely,completely or totally
"abstract","existing as an idea, not physical"
abuse,to treat someone badly or harmfully
academic,related to school or education
accept,to agree to receive or do something
acceptable,good enough to be allowed or approved
access,the ability to enter or use something
accident,an unexpected event causing harm or damage
accommodation,a place to stay or live temporarily
accompany,to go with someone as a companion
accomplish,to successfully complete a task
accord,agreement or harmony between people or things
account,a record or report of something
accurate,correct and free from mistakes
accuse,to say someone did something wrong
achieve,to successfully reach a goal
achievement,something done successfully
acknowledge,to accept or admit the truth of something
acquire,to get or obtain something
acquisition,the act of getting or gaining something
across,from one side to the other side
act,to do something or perform
action,something done or performed
active,engaged in activity or movement
activity,something done for a purpose or fun
actor,a person who performs in plays or movies
actual,real or existing in fact
"actually","in fact, really"
ad,a short form of advertisement
adapt,to change to fit new conditions
add,to put something with something else
addition,the act of adding something
additional,more than what is usual or expected
address,the place where someone lives or works
adequate,enough for a particular need
adjust,to change something slightly
adjustment,a small change to improve something
administration,the management of an organization or government
admire,to respect or like someone or something
admit,to agree that something is true
adopt,to take something as your own
adult,a fully grown person or animal
advance,to move forward or make progress
advantage,a benefit or favorable position
adventure,an exciting or unusual experience
advertise,to promote a product or service
advertisement,a public notice promoting something
advice,a suggestion about what to do
advise,to give someone advice
adviser,a person who gives advice
advocate,to support or recommend something
"affair","an event or situation, often personal"
affect,to influence or change something
afford,to have enough money to buy something
afraid,feeling fear or worry
after,following in time or place
afternoon,the part of the day after noon
again,one more time
against,in opposition to something
age,the length of time someone has lived
agency,a business or organization that provides services
agenda,a list of things to be done or discussed
agent,a person who acts for another
aggressive,ready to attack or confront
ago,before the present time
agree,to have the same opinion
agreement,a shared decision or contract
agricultural,related to farming or growing crops
ahead,in front or forward in time
aid,help or support
aim,to point or direct something at a target
air,the invisible gas we breathe around us
aircraft,a vehicle that flies in the sky
