term,definition
be,was / were — been
have,had — had
do,did — done
go,went — gone
get,got — got / gotten
make,made — made
know,knew — known
think,thought — thought
take,took — taken
see,saw — seen
come,came — come
give,gave — given
find,found — found
say,said — said
tell,told — told
become,became — become
leave,left — left
feel,felt — felt
put,put — put
bring,brought — brought
begin,began — begun
keep,kept — kept
hold,held — held
write,wrote — written
stand,stood — stood
hear,heard — heard
let,let — let
mean,meant — meant
set,set — set
meet,met — met
run,ran — run
pay,paid — paid
sit,sat — sat
speak,spoke — spoken
lie,lay — lain
lead,led — led
read,read — read
grow,grew — grown
lose,lost — lost
fall,fell — fallen
send,sent — sent
build,built — built
buy,bought — bought
cut,cut — cut
drive,drove — driven
break,broke — broken
eat,ate — eaten
rise,rose — risen
throw,threw — thrown
win,won — won
