term,definition
a,один; какой-то; неопределённый артикль
abandon,покидать; оставлять; бросать
ability,способность; умение
able,способный; в состоянии
abortion,аборт; прерывание беременности
about,о; около; примерно
above,над; выше
abroad,за границей; заграницей
absence,отсутствие; нехватка
absolute,абсолютный; полный
absolutely,абсолютно; совершенно
abstract,абстрактный; отвлечённый
abuse,злоупотреблять; оскорблять; насилие
academic,академический; учебный
accept,принимать; соглашаться
acceptable,приемлемый; допустимый
access,доступ; подход
accident,авария; несчастный случай
accommodation,жильё; размещение
accompany,сопровождать; идти вместе
accomplish,выполнять; достигать
accord,согласие; соответствие
account,счёт; отчёт; объяснение
accurate,точный; правильный
accuse,обвинять; упрекать
achieve,достигать; добиваться
achievement,достижение; успех
acknowledge,признавать; подтверждать
acquire,приобретать; получать
acquisition,приобретение; получение
across,через; поперёк
act,действовать; поступать; акт
action,действие; поступок
active,активный; деятельный
activity,деятельность; активность
actor,актёр; деятель
actual,фактический; реальный
actually,на самом деле; действительно
ad,реклама; объявление
adapt,адаптировать; приспосабливать
add,добавлять; прибавлять
addition,добавление; прибавление
additional,дополнительный; добавочный
address,адрес; обращаться
adequate,адекватный; достаточный
adjust,регулировать; приспосабливать
adjustment,регулировка; корректировка
administration,администрация; управление
admire,восхищаться; любоваться
admit,признавать; допускать
adopt,принимать; усыновлять
adult,взрослый; совершеннолетний
advance,продвигаться; продвижение
advantage,преимущество; выгода
adventure,приключение; авантюра
advertise,рекламировать; объявлять
advertisement,реклама; объявление
advice,совет; рекомендация
advise,советовать; рекомендовать
adviser,советник; консультант
advocate,защитник; сторонник; поддерживать
affair,дело; событие; роман
affect,влиять; затрагивать
afford,позволять себе
afraid,бояться; испуганный
after,после; спустя
afternoon,после полудня; день
again,снова; опять
against,против; у
age,возраст; эпоха
agency,агентство; представительство
agenda,повестка дня; план
agent,агент; представитель
aggressive,агрессивный; напористый
ago,назад; тому назад
agree,соглашаться; договариваться
agreement,соглашение; договор
agricultural,сельскохозяйственный
ahead,впереди; заранее
aid,помощь; поддержка
aim,цель; стремиться
air,воздух; атмосфера
aircraft,самолёт; воздушное судно
airline,авиакомпания
alarm,тревога; сигнализация
album,альбом; сборник
alcohol,алкоголь; спирт
alive,живой; в живых
all,все; весь
allege,утверждать; заявлять
allow,позволять; разрешать
ally,союзник; объединять
almost,почти; практически
alone,один; в одиночестве
along,вдоль; вместе
alongside,рядом; бок о бок
already,уже; ранее
alright,в порядке; хорошо
also,также; тоже
alter,изменять; менять
alternative,альтернатива; вариант
although,хотя; несмотря на то что
altogether,в целом; полностью; совсем
always,всегда
amaze,удивлять; поражать
amendment,поправка; изменение
among,среди; между
amount,количество; сумма
analysis,анализ
analyst,аналитик
analyze,анализировать
ancient,древний; старинный
and,и
anger,гнев; злость
angle,угол; точка зрения
angry,злой; сердитый
animal,животное
announce,объявлять; сообщать
announcement,объявление; сообщение
annual,ежегодный
another,еще один; другой
answer,ответ; отвечать
anticipate,ожидать; предвидеть
anxiety,тревога; беспокойство
anxious,озабоченный; тревожный
any,любой; какой-либо
anybody,кто-нибудь; кто-либо
anymore,больше не; уже не
anyone,кто-нибудь; кто-либо
anything,что-нибудь; что-либо
anyway,в любом случае; все равно
anywhere,где-нибудь; куда-нибудь
apart,отдельно; в стороне
apartment,квартира
apologize,извиняться
apparent,очевидный; явный
apparently,по-видимому; очевидно
appeal,привлекать; обращение; призыв
appear,появляться; казаться
appearance,внешность; появление
application,заявление; применение
apply,применять; подавать заявление
appoint,назначать
appointment,назначение; встреча
appreciate,ценить; благодарить
approach,подход; приближаться
appropriate,подходящий; соответствующий
approval,одобрение
approve,одобрять; утверждать
approximately,примерно; около
architecture,архитектура
area,область; район
argue,спорить; доказывать
argument,спор; аргумент
arise,возникать; появляться
arm,рука; вооружать
army,армия
around,вокруг; около
arrange,организовывать; устраивать
arrangement,договоренность; расположение
arrest,арестовывать; задержание
arrival,прибытие
arrive,прибывать
art,искусство
article,статья; предмет
artist,художник; артист
as,как; в качестве
ashamed,стыдящийся; пристыженный
aside,в сторону; отдельно
ask,спрашивать; просить
assess,оценивать
assessment,оценка
asset,актив; ценное качество
assign,назначать; поручать
assist,помогать; содействовать
assistance,помощь; содействие
assistant,ассистент; помощник
associate,ассоциировать; коллега
association,ассоциация; объединение
assume,предполагать; принимать
assumption,предположение
assure,уверять; гарантировать
at,в; на
athlete,спортсмен
atmosphere,атмосфера; обстановка
attach,прикреплять; присоединять
attachment,прикрепление; вложение
attack,атаковать; нападение
attempt,попытка; пытаться
attend,посещать; присутствовать
attendance,посещаемость; присутствие
attention,внимание
attitude,отношение; позиция
attract,привлекать
attraction,привлекательность; достопримечательность
attractive,привлекательный
attribute,приписывать; качество
audience,аудитория; зрители
aunt,тётя
author,автор; писатель
automatically,автоматически
autumn,осень
available,доступный; имеющийся
average,средний
avoid,избегать
award,награда; присуждать
aware,осведомлённый; знающий
awareness,осознание; осведомлённость
away,прочь; вдали
awful,ужасный; отвратительный
baby,младенец; ребёнок
back,назад; спина
background,фон; происхождение
bad,плохой
badly,плохо
bag,сумка; мешок
balance,баланс; равновесие
ball,мяч
ban,запрет; запрещать
band,группа; лента
bank,банк; берег
bar,бар; плитка
barely,едва; почти не
barrier,барьер; преграда
base,основа; база
basic,основной; базовый
basically,в основном; по сути
basis,основа; база
bath,ванна; купание
battle,битва; сражение
be,быть
beach,пляж
bear,медведь; терпеть
beat,бить; побеждать
beautiful,красивый
beauty,красота
because,потому что
become,становиться
bed,кровать
bedroom,спальня
beer,пиво
before,до; перед
begin,начинать
behave,вести себя
behavior,поведение
behind,за; позади
belief,вера; убеждение
believe,верить
bell,колокол; звонок
belong,принадлежать
below,ниже; под
belt,ремень; пояс
bend,гнуть; изгиб
beneath,под; ниже
benefit,выгода; польза
beside,рядом с
besides,кроме того; помимо
bet,ставка; держать пари
between,между
beyond,за; вне
bias,предвзятость; склонность
bid,предложение; торговаться
big,большой
bike,велосипед; мотоцикл
bill,счёт; законопроект
bin,корзина; контейнер
bind,связывать; связывать обязательствами
biological,биологический
bird,птица
